full_name,team_short_name,team,position,drafted_by
1,Jonathan Taylor,IND,Colts,RB,Always Next Year
2,Christian McCaffrey,CAR,Panthers,RB,Russ Riders
3,Derrick Henry,TEN,Titans,RB,Undrafted
4,Dalvin Cook,MIN,Vikings,RB,DirtBags
5,Austin Ekeler,LAC,Chargers,RB,Dark Energy
6,Joe Mixon,CIN,Bengals,RB,WhatDats
7,Nick Chubb,CLE,Browns,RB,Undrafted
8,Cooper Kupp,LAR,Rams,WR,DirtBags
9,Justin Jefferson,MIN,Vikings,WR,DirtBags
10,Najee Harris,PIT,Steelers,RB,Always Next Year
11,Travis Kelce,KC,Chiefs,TE,Always Next Year
12,Ja'Marr Chase,CIN,Bengals,WR,Russ Riders
13,D'Andre Swift,DET,Lions,RB,DirtBags
14,Mark Andrews,BAL,Ravens,TE,Dark Energy
15,CeeDee Lamb,DAL,Cowboys,WR,WhatDats
16,Stefon Diggs,BUF,Bills,WR,Easy Marks
17,Aaron Jones,GB,Packers,RB,Undrafted
18,Deebo Samuel,SF,49ers,WR,Dark Energy
19,Davante Adams,LV,Raiders,WR,Undrafted
20,Mike Evans,TB,Buccaneers,WR,Russ Riders
21,Saquon Barkley,NYG,Giants,RB,Undrafted
22,Leonard Fournette,TB,Buccaneers,RB,Undrafted
23,Javonte Williams,DEN,Broncos,RB,Hokie High
24,Tyreek Hill,MIA,Dolphins,WR,Undrafted
25,James Conner,ARI,Cardinals,RB,Undrafted
26,Alvin Kamara,NO,Saints,RB,WhatDats
27,A.J. Brown,PHI,Eagles,WR,Hokie High
28,Tee Higgins,CIN,Bengals,WR,Dark Energy
29,Kyle Pitts,ATL,Packers,TE,WhatDats
30,Ezekiel Elliott,DAL,Cowboys,RB,Undrafted
31,Josh Allen,BUF,Bills,QB,Easy Marks
32,Michael Pittman Jr,IND,Colts,WR,Sentinels
33,Keenan Allen,LAC,Chargers,WR,The Freeze
34,Cam Akers,LAR,Rams,RB,Hokie High
35,David Montgomery,CHI,Browns,RB,Always Next Year
36,D.J. Moore,CAR,Panthers,WR,Undrafted
37,Mike Williams,LAC,Chargers,WR,Undrafted
38,Terry McLaurin,WAS,Commanders,WR,Undrafted
39,George Kittle,SF,49ers,TE,Undrafted
40,Diontae Johnson,PIT,Steelers,WR,DirtBags
41,Courtland Sutton,DEN,Broncos,WR,Undrafted
42,D.K. Metcalf,SEA,Seahawks,WR,Dark Energy
43,Jaylen Waddle,MIA,Dolphins,WR,Easy Marks
44,Antonio Gibson,WAS,Commanders,RB,Hokie High
45,Justin Herbert,LAC,Chargers,QB,Dark Energy
46,Elijah Mitchell,SF,49ers,RB,Russ Riders
47,Breece Hall,NYJ,Jets,RB,Undrafted
48,Brandin Cooks,HOU,Texans,WR,Undrafted
49,Patrick Mahomes II,KC,Chiefs,QB,Easy Marks
50,Josh Jacobs,LV,Raiders,RB,Angry Midget Ninjas
51,Darren Waller,LV,Raiders,TE,Undrafted
52,Lamar Jackson,BAL,Ravens,QB,WhatDats
53,J.K. Dobbins,BAL,Ravens,RB,Dark Energy
54,Marquise Brown,ARI,Cardinals,WR,Sentinels
55,Amari Cooper,CLE,Browns,WR,Always Next Year
56,Allen Robinson II,LAR,Rams,WR,Undrafted
57,Travis Etienne Jr,JAC,Jaguars,RB,Angry Midget Ninjas
58,Gabriel Davis,BUF,Bills,WR,Undrafted
59,Jerry Jeudy,DEN,Broncos,WR,The Freeze
60,Darnell Mooney,CHI,Browns,WR,Undrafted
61,AJ Dillon,GB,Packers,RB,Undrafted
62,Kyler Murray,ARI,Cardinals,QB,Always Next Year
63,Damien Harris,NE,Patriots,RB,Undrafted
64,Elijah Moore,NYJ,Jets,WR,Dark Energy
65,Rashod Bateman,BAL,Ravens,WR,Hokie High
66,Jalen Hurts,PHI,Eagles,QB,Undrafted
67,Miles Sanders,PHI,Eagles,RB,DirtBags
68,Chris Godwin,TB,Buccaneers,WR,Undrafted
69,Dalton Schultz,DAL,Cowboys,TE,Undrafted
70,Joe Burrow,CIN,Bengals,QB,Always Next Year
71,Adam Thielen,MIN,Vikings,WR,The Freeze
72,Dallas Goedert,PHI,Eagles,TE,Undrafted
73,DeVonta Smith,PHI,Eagles,WR,The Freeze
74,JuJu Smith-Schuster,KC,Chiefs,WR,Hokie High
75,T.J. Hockenson,DET,Lions,TE,Hokie High
76,Amon-Ra St. Brown,DET,Lions,WR,Sentinels
77,Michael Thomas,NO,Saints,WR,Undrafted
78,Rashaad Penny,SEA,Seahawks,RB,Undrafted
79,Clyde Edwards-Helaire,KC,Chiefs,RB,Angry Midget Ninjas
80,Tom Brady,TB,Buccaneers,QB,DirtBags
81,Dak Prescott,DAL,Cowboys,QB,Dark Energy
82,Kareem Hunt,CLE,Browns,RB,Undrafted
83,Russell Wilson,DEN,Broncos,QB,Undrafted
84,Devin Singletary,BUF,Bills,RB,WhatDats
85,Brandon Aiyuk,SF,49ers,WR,The Freeze
86,Chase Edmonds,MIA,Dolphins,RB,Undrafted
87,Tyler Lockett,SEA,Seahawks,WR,Easy Marks
88,Tony Pollard,DAL,Cowboys,RB,Undrafted
89,DeAndre Hopkins,ARI,Cardinals,WR,Dark Energy
90,Melvin Gordon III,DEN,Broncos,RB,Dark Energy
91,Dawson Knox,BUF,Bills,TE,Undrafted
92,Matthew Stafford,LAR,Rams,QB,Undrafted
93,Allen Lazard,GB,Packers,WR,Undrafted
94,Drake London,ATL,Packers,WR,Undrafted
95,Ken Walker III,SEA,Seahawks,RB,Undrafted
96,Zach Ertz,ARI,Cardinals,TE,Undrafted
97,Hunter Renfrow,LV,Raiders,WR,Undrafted
98,Chase Claypool,PIT,Steelers,WR,Sentinels
99,Christian Kirk,JAC,Jaguars,WR,Undrafted
100,Robert Woods,TEN,Titans,WR,Undrafted
101,Rhamondre Stevenson,NE,Patriots,RB,Russ Riders
102,Trey Lance,SF,49ers,QB,The Freeze
103,Aaron Rodgers,GB,Packers,QB,Undrafted
104,Treylon Burks,TEN,Titans,WR,Undrafted
105,Cordarrelle Patterson,ATL,Packers,RB,Undrafted
106,Kirk Cousins,MIN,Vikings,QB,Sentinels
107,Derek Carr,LV,Raiders,QB,Undrafted
108,Ronald Jones II,KC,Chiefs,RB,Undrafted
109,Hunter Henry,NE,Patriots,TE,Sentinels
110,Kadarius Toney,NYG,Giants,WR,Undrafted
111,Marquez Valdes-Scantling,KC,Chiefs,WR,Sentinels
112,Russell Gage,TB,Buccaneers,WR,Undrafted
113,Michael Carter,NYJ,Jets,RB,Always Next Year
114,Chris Olave,NO,Saints,WR,Undrafted
115,Pat Freiermuth,PIT,Steelers,TE,Undrafted
116,Tua Tagovailoa,MIA,Dolphins,QB,DirtBags
117,James Cook,BUF,Bills,RB,Undrafted
118,Mike Gesicki,MIA,Dolphins,TE,Undrafted
119,Garrett Wilson,NYJ,Jets,WR,Undrafted
120,Justin Fields,CHI,Browns,QB,Easy Marks
121,Darrell Henderson Jr,LAR,Rams,RB,WhatDats
122,Alexander Mattison,MIN,Vikings,RB,Russ Riders
123,James Robinson,JAC,Jaguars,RB,Angry Midget Ninjas
124,Cole Kmet,CHI,Browns,TE,The Freeze
125,Michael Gallup,DAL,Cowboys,WR,Undrafted
126,Kenny Golladay,NYG,Giants,WR,The Freeze
127,Trevor Lawrence,JAC,Jaguars,QB,WhatDats
128,Tyler Boyd,CIN,Bengals,WR,Undrafted
129,Robert Tonyan,GB,Packers,TE,Undrafted
130,Raheem Mostert,MIA,Dolphins,RB,Undrafted
131,Skyy Moore,KC,Chiefs,WR,Undrafted
132,Irv Smith Jr,MIN,Vikings,TE,Dark Energy
133,Jarvis Landry,NO,Saints,WR,Undrafted
134,Gus Edwards,BAL,Ravens,RB,Undrafted
135,Noah Fant,SEA,Seahawks,TE,Undrafted
136,Jakobi Meyers,NE,Patriots,WR,Angry Midget Ninjas
137,Dameon Pierce,HOU,Texans,RB,Undrafted
138,Tim Patrick,DEN,Broncos,WR,Undrafted
139,Isaiah Spiller,LAC,Chargers,RB,Undrafted
140,DeVante Parker,NE,Patriots,WR,Undrafted
141,Jameis Winston,NO,Saints,QB,The Freeze
142,Matt Ryan,IND,Colts,QB,Undrafted
143,Jamaal Williams,DET,Lions,RB,Undrafted
144,DJ Chark Jr,DET,Lions,WR,Undrafted
145,David Njoku,CLE,Browns,TE,Undrafted
146,Kenneth Gainwell,PHI,Eagles,RB,Undrafted
147,Albert Okwuegbunam,DEN,Broncos,TE,Undrafted
148,Ryan Tannehill,TEN,Titans,QB,Sentinels
149,Tyler Higbee,LAR,Rams,TE,Russ Riders
150,Gerald Everett,LAC,Chargers,TE,Undrafted
151,Daniel Jones,NYG,Giants,QB,Undrafted
152,Nyheim Hines,IND,Colts,RB,Undrafted
153,Zach Wilson,NYJ,Jets,QB,Undrafted
154,Buffalo Bills,BUF,Bills,DST,Undrafted
155,Sony Michel,MIA,Dolphins,RB,Undrafted
156,Khalil Herbert,CHI,Browns,RB,Undrafted
157,J.D. McKissic,WAS,Commanders,RB,Undrafted
158,Marlon Mack,HOU,Texans,RB,Undrafted
159,Mac Jones,NE,Patriots,QB,DirtBags
160,Rondale Moore,ARI,Cardinals,WR,Dark Energy
161,Tampa Bay Buccaneers,TB,Buccaneers,DST,Easy Marks
162,Logan Thomas,WAS,Commanders,TE,Easy Marks
163,Tyler Allgeier,ATL,Packers,RB,Undrafted
164,Evan Engram,JAC,Jaguars,TE,Undrafted
165,Corey Davis,NYJ,Jets,WR,Undrafted
166,Van Jefferson,LAR,Rams,WR,The Freeze
167,San Francisco 49ers,SF,49ers,DST,Undrafted
168,Carson Wentz,WAS,Commanders,QB,Undrafted
169,Rachaad White,TB,Buccaneers,RB,Undrafted
170,D'Onta Foreman,CAR,Panthers,RB,Undrafted
171,Mecole Hardman,KC,Chiefs,WR,Undrafted
172,Mark Ingram II,NO,Saints,RB,Undrafted
173,Indianapolis Colts,IND,Colts,DST,Undrafted
174,Jameson Williams,DET,Lions,WR,Undrafted
175,Darrel Williams,ARI,Cardinals,RB,Angry Midget Ninjas
176,Christian Watson,GB,Packers,WR,Undrafted
177,Austin Hooper,TEN,Titans,TE,Sentinels
178,Jahan Dotson,WAS,Commanders,WR,Undrafted
179,Robbie Anderson,CAR,Panthers,WR,Sentinels
180,Justin Tucker,BAL,Ravens,K,WhatDats
181,Jared Goff,DET,Lions,QB,Undrafted
182,New England Patriots,NE,Patriots,DST,Undrafted
183,Denver Broncos,DEN,Broncos,DST,WhatDats
184,New Orleans Saints,NO,Saints,DST,Undrafted
185,Marvin Jones Jr,JAC,Jaguars,WR,Undrafted
186,Los Angeles Rams,LAR,Rams,DST,Undrafted
187,Tyler Bass,BUF,Bills,K,Undrafted
188,Matt Gay,LAR,Rams,K,Undrafted
189,Jamison Crowder,BUF,Bills,WR,Undrafted
190,Deshaun Watson,CLE,Browns,QB,Undrafted
191,Nico Collins,HOU,Texans,WR,Angry Midget Ninjas
192,Davis Mills,HOU,Texans,QB,Undrafted
193,Julio Jones,TB,Buccaneers,WR,Undrafted
194,Hayden Hurst,CIN,Bengals,TE,Undrafted
195,Joshua Palmer,LAC,Chargers,WR,The Freeze
196,Kendrick Bourne,NE,Patriots,WR,Undrafted
197,Daniel Carlson,LV,Raiders,K,Undrafted
198,Los Angeles Chargers,LAC,Chargers,DST,Undrafted
199,Brian Robinson Jr.,WAS,Commanders,RB,Undrafted
200,Dallas Cowboys,DAL,Cowboys,DST,Undrafted
201,Curtis Samuel,WAS,Commanders,WR,Undrafted
202,K.J. Osborn,MIN,Vikings,WR,Undrafted
203,Baker Mayfield,CAR,Panthers,QB,Undrafted
204,Kansas City Chiefs,KC,Chiefs,DST,Undrafted
205,Boston Scott,PHI,Eagles,RB,Undrafted
206,Evan McPherson,CIN,Bengals,K,Undrafted
207,Miami Dolphins,MIA,Dolphins,DST,Undrafted
208,Kenyan Drake,LV,Raiders,RB,Undrafted
209,Ryan Succop,TB,Buccaneers,K,Undrafted
210,Green Bay Packers,GB,Packers,DST,Undrafted
211,Donovan Peoples-Jones,CLE,Browns,WR,Undrafted
212,George Pickens,PIT,Steelers,WR,Undrafted
213,Sterling Shepard,NYG,Giants,WR,Undrafted
214,A.J. Green,ARI,Cardinals,WR,Undrafted
215,Harrison Butker,KC,Chiefs,K,Undrafted
216,Matt Prater,ARI,Cardinals,K,Undrafted
217,Zamir White,LV,Raiders,RB,Undrafted
218,Cleveland Browns,CLE,Browns,DST,Undrafted
219,Parris Campbell,IND,Colts,WR,Undrafted
220,Chuba Hubbard,CAR,Panthers,RB,Angry Midget Ninjas
221,Baltimore Ravens,BAL,Ravens,DST,The Freeze
