team_short_name,team,team_id,position,first_name,last_name,full_name,jersey_number,age,height,weight,madden_score,total_salary,signing_bonus,birthday,years_pro
ATL,Packers,20,WR,Davante,Adams,Davante Adams,17,28,73,215,99,39210000,20300000,725155200,7
KAN,Chiefs,9,QB,Patrick,Mahomes,Patrick Mahomes,15,25,75,230,99,183300000,99190000,811296000,4
KAN,Chiefs,9,TE,Travis,Kelce,Travis Kelce,87,31,77,260,99,54000000,25440000,623548800,8
ATL,Rams,24,RE,Aaron,Donald,Aaron Donald,99,30,73,280,99,101892000,40000000,674956800,7
ATL,Rams,24,CB,Jalen,Ramsey,Jalen Ramsey,5,26,73,208,99,71000000,43600000,782956800,5
ARI,Cardinals,7,WR,DeAndre,Hopkins,DeAndre Hopkins,10,29,73,212,98,52670000,41750000,707788800,8
CHI,Browns,5,RE,Myles,Garrett,Myles Garrett,95,25,76,272,98,84270000,65590000,820195200,4
KAN,Cowboys,11,RG,Zack,Martin,Zack Martin,70,30,76,315,98,53440000,39890000,659059200,7
KAN,Chiefs,9,WR,Tyreek,Hill,Tyreek Hill,10,27,69,185,98,32240000,24240000,762480000,5
CHI,Bills,3,WR,Stefon,Diggs,Stefon Diggs,14,27,72,191,97,39570000,30140000,754531200,6
ATL,Panthers,21,HB,Christian,McCaffrey,Christian McCaffrey,22,25,71,205,97,46000000,32030000,834105600,4
ATL,Patriots,22,CB,Stephon,Gilmore,Stephon Gilmore,24,30,73,202,97,36720000,32280000,653702400,9
CHI,Buccaneers,6,QB,Tom,Brady,Tom Brady,12,44,76,225,97,1500000,49510000,239414400,21
CHI,Bears,1,LOLB,Khalil,Mack,Khalil Mack,52,30,75,260,96,91680000,59960000,667180800,7
CHI,Browns,5,HB,Nick,Chubb,Nick Chubb,24,25,71,227,96,5830000,3440000,820022400,3
ATL,Packers,20,QB,Aaron,Rodgers,Aaron Rodgers,12,37,74,225,96,90980000,85650000,439171200,16
ATL,Packers,20,LT,David,Bakhtiari,David Bakhtiari,69,29,76,310,96,41100000,65470000,686188800,8
SFO,49ers,15,TE,George,Kittle,George Kittle,85,27,76,250,96,54300000,22910000,750124800,4
ATL,Titans,30,HB,Derrick,Henry,Derrick Henry,22,27,75,247,96,25500000,24500000,757641600,5
ATL,Packers,20,CB,Jaire,Alexander,Jaire Alexander,23,24,70,196,95,18500000,6840000,855446400,3
KAN,Colts,10,LG,Quenton,Nelson,Quenton Nelson,56,25,77,329,95,22190000,15440000,827193600,3
KAN,Chiefs,9,SS,Tyrann,Mathieu,Tyrann Mathieu,32,29,69,190,95,15800000,26190000,705715200,8
MIN,Vikings,31,HB,Dalvin,Cook,Dalvin Cook,33,26,70,210,95,38700000,26320000,808012800,4
ATL,Saints,27,LT,Terron,Armstead,Terron Armstead,72,30,77,304,95,26510000,28810000,680227200,8
ATL,Titans,30,WR,Julio,Jones,Julio Jones,2,32,75,220,95,24520000,44590000,602899200,10
ARI,Cardinals,7,LOLB,Chandler,Jones,Chandler Jones,55,31,77,265,94,33000000,49490000,636076800,9
ARI,Cardinals,7,LE,J.J.,Watt,J.J. Watt,99,32,77,288,94,1000000,19800000,606528000,10
ATL,Saints,27,HB,Alvin,Kamara,Alvin Kamara,41,26,70,215,94,54800000,22580000,806630400,4
ATL,Saints,27,WR,Michael,Thomas,Michael Thomas,13,28,75,212,94,53450000,44420000,731116800,5
MIA,Eagles,13,DT,Fletcher,Cox,Fletcher Cox,91,30,76,310,94,46680000,58250000,661046400,9
ATL,Steelers,29,LOLB,T.J.,Watt,T.J. Watt,90,26,76,252,94,4900000,14470000,781833600,4
SFO,49ers,15,MLB,Fred,Warner,Fred Warner,54,24,75,230,94,5360000,1020000,848361600,3
SFO,49ers,15,LT,Trent,Williams,Trent Williams,71,33,77,320,94,97870000,40100000,585273600,11
ATL,Seahawks,28,QB,Russell,Wilson,Russell Wilson,3,32,71,215,94,87500000,77790000,596764800,9
ARI,Cardinals,7,SS,Budda,Baker,Budda Baker,3,25,70,195,93,39300000,21900000,821232000,4
ATL,Ravens,25,LT,Ronnie,Stanley,Ronnie Stanley,79,27,78,315,93,49000000,62620000,763948800,5
CHI,Bills,3,CB,Tre'Davious,White,Tre'Davious White,27,26,71,192,93,45090000,37360000,790214400,4
CHI,Broncos,4,LOLB,Von,Miller,Von Miller,58,32,75,250,93,54000000,29020000,606873600,10
ATL,Raiders,23,TE,Darren,Waller,Darren Waller,83,28,78,255,93,27800000,2720000,716342400,5
ARI,Chargers,8,WR,Keenan,Allen,Keenan Allen,13,29,74,211,93,59600000,33150000,704332800,8
ATL,Saints,27,LE,Cameron,Jordan,Cameron Jordan,94,32,76,287,93,31840000,41380000,616032000,10
CHI,Buccaneers,6,MLB,Lavonte,David,Lavonte David,54,31,73,233,93,8000000,10150000,633052800,9
ARI,Cardinals,7,C,Rodney,Hudson,Rodney Hudson,61,32,74,315,92,17250000,3500000,616204800,10
ATL,Ravens,25,CB,Marlon,Humphrey,Marlon Humphrey,44,25,72,197,92,70500000,41010000,836784000,4
KAN,Cowboys,11,WR,Amari,Cooper,Amari Cooper,19,27,73,210,92,61000000,39000000,771811200,6
KAN,Colts,10,DT,DeForest,Buckner,DeForest Buckner,99,27,79,295,92,52000000,44380000,763862400,5
KAN,Chiefs,9,DT,Chris,Jones,Chris Jones,95,27,78,310,92,21500000,58500000,773193600,5
ARI,Chargers,8,LOLB,Joey,Bosa,Joey Bosa,97,26,77,280,92,72860000,76500000,805420800,5
ATL,Patriots,22,FS,Devin,McCourty,Devin McCourty,32,34,70,195,92,10000000,6550000,555811200,11
MIA,Eagles,13,RG,Brandon,Brooks,Brandon Brooks,79,32,77,335,92,54580000,26070000,619488000,9
ATL,Steelers,29,RE,Cameron,Heyward,Cameron Heyward,97,32,77,295,92,45420000,33440000,610416000,10
ATL,Seahawks,28,MLB,Bobby,Wagner,Bobby Wagner,54,31,72,242,92,42000000,26100000,646444800,9
ATL,Ravens,25,QB,Lamar,Jackson,Lamar Jackson,8,24,74,212,91,27520000,4960000,852595200,3
CHI,Bengals,2,FS,Jessie,Bates III,Jessie Bates III,30,24,73,200,91,4540000,1680000,856915200,3
KAN,Cowboys,11,LT,Tyron,Smith,Tyron Smith,77,30,77,320,91,51080000,40180000,660960000,10
CHI,Broncos,4,FS,Justin,Simmons,Justin Simmons,31,27,74,202,91,29900000,31100000,753667200,5
ATL,Packers,20,HB,Aaron,Jones,Aaron Jones,33,26,69,208,91,35000000,13000000,786326400,4
MIA,Dolphins,12,CB,Xavien,Howard,Xavien Howard,25,28,73,198,91,50320000,26880000,741744000,5
MIN,Vikings,31,DT,Michael,Pierce,Michael Pierce,97,28,72,345,91,18400000,8500000,721008000,5
ATL,Saints,27,MLB,Demario,Davis,Demario Davis,56,32,74,248,91,17000000,18700000,600480000,9
MIA,Eagles,13,C,Jason,Kelce,Jason Kelce,62,33,75,295,91,4930000,7980000,563068800,10
CHI,Buccaneers,6,WR,Mike,Evans,Mike Evans,13,28,77,231,91,48250000,47520000,745891200,7
ATL,Ravens,25,RE,Calais,Campbell,Calais Campbell,93,35,80,300,90,2500000,20500000,525916800,13
CHI,Bears,1,WR,Allen,Robinson II,Allen Robinson II,12,28,74,220,90,17880000,0,746150400,7
ATL,Texans,32,QB,Deshaun,Watson,Deshaun Watson,4,25,74,215,90,102500000,75450000,811036800,4
MIN,Vikings,31,MLB,Eric,Kendricks,Eric Kendricks,54,29,72,232,90,38360000,13250000,699321600,6
MIN,Vikings,31,SS,Harrison,Smith,Harrison Smith,22,32,74,214,90,46030000,10600000,602380800,9
ATL,Giants,16,CB,James,Bradberry IV,James Bradberry IV,24,28,73,210,90,14500000,35250000,744422400,5
ATL,Giants,16,HB,Saquon,Barkley,Saquon Barkley,26,24,71,233,90,17650000,20760000,855446400,3
SFO,49ers,15,RE,Nick,Bosa,Nick Bosa,97,23,76,266,90,2000000,31550000,877564800,2
ATL,Seahawks,28,SS,Jamal,Adams,Jamal Adams,33,25,73,213,90,5440000,23190000,813888000,4
CHI,Buccaneers,6,LG,Ali,Marpet,Ali Marpet,74,28,76,307,90,47500000,7840000,735004800,6
CHI,Bears,1,FS,Eddie,Jackson,Eddie Jackson,4,27,72,199,89,39350000,19770000,755481600,4
CHI,Browns,5,CB,Denzel,Ward,Denzel Ward,21,24,71,190,89,23170000,19280000,862185600,3
CHI,Browns,5,WR,Odell,Beckham Jr,Odell Beckham Jr,13,28,71,198,89,59960000,22500000,720921600,7
CHI,Browns,5,RG,Wyatt,Teller,Wyatt Teller,77,26,76,314,89,3890000,60000,785376000,3
ATL,Packers,20,SS,Adrian,Amos,Adrian Amos,31,28,72,214,89,22500000,13500000,736041600,6
ATL,Packers,20,DT,Kenny,Clark,Kenny Clark,97,25,75,314,89,50500000,27190000,812764800,5
ATL,Packers,20,LOLB,Za'Darius,Smith,Za'Darius Smith,55,28,76,272,89,32490000,34260000,715910400,6
ATL,Texans,32,LT,Laremy,Tunsil,Laremy Tunsil,78,27,77,316,89,37350000,38990000,775785600,5
KAN,Colts,10,LOLB,Darius,Leonard,Darius Leonard,53,26,74,215,89,5810000,3360000,806803200,3
ATL,Raiders,23,HB,Josh,Jacobs,Josh Jacobs,28,23,70,220,89,2000000,9930000,887155200,2
ATL,Raiders,23,LG,Richie,Incognito,Richie Incognito,64,38,75,325,89,500000,730000,426211200,16
MIN,Vikings,31,LE,Danielle,Hunter,Danielle Hunter,99,26,77,252,89,48560000,26620000,783388800,6
ATL,Saints,27,RT,Ryan,Ramczyk,Ryan Ramczyk,71,27,78,314,89,4790000,15170000,766972800,4
ATL,Steelers,29,FS,Minkah,Fitzpatrick,Minkah Fitzpatrick,39,24,73,207,89,17020000,2510000,848188800,3
ATL,Steelers,29,LE,Stephon,Tuitt,Stephon Tuitt,91,28,78,303,89,28650000,28800000,738115200,7
ATL,Seahawks,28,WR,D.K.,Metcalf,D.K. Metcalf,14,23,75,235,89,3030000,1550000,882057600,2
CHI,Buccaneers,6,C,Ryan,Jensen,Ryan Jensen,66,30,76,319,89,33000000,9000000,675302400,8
CHI,Buccaneers,6,RT,Tristan,Wirfs,Tristan Wirfs,78,22,77,320,89,2000000,14230000,917136000,1
ATL,Commanders,26,CB,Kendall,Fuller,Kendall Fuller,29,26,71,198,89,27000000,13010000,792633600,5
ATL,Commanders,26,WR,Terry,McLaurin,Terry McLaurin,17,24,72,210,89,2840000,1000000,842745600,2
ATL,Falcons,14,WR,Calvin,Ridley,Calvin Ridley,18,26,73,190,88,16020000,6000000,787881600,3
ATL,Falcons,14,RE,Grady,Jarrett,Grady Jarrett,97,28,72,305,88,33000000,34990000,735955200,6
ATL,Ravens,25,CB,Marcus,Peters,Marcus Peters,24,28,72,197,88,11500000,36050000,726537600,6
ATL,Ravens,25,TE,Mark,Andrews,Mark Andrews,89,25,77,253,88,5200000,820000,810345600,3
CHI,Bills,3,QB,Josh,Allen,Josh Allen,17,25,77,237,88,26560000,13480000,832636800,3
CHI,Bills,3,FS,Micah,Hyde,Micah Hyde,23,30,72,197,88,14900000,11080000,662601600,8
CHI,Bears,1,LE,Akiem,Hicks,Akiem Hicks,96,31,76,347,88,45100000,8400000,627177600,9
CHI,Bears,1,MLB,Roquan,Smith,Roquan Smith,58,24,72,230,88,16700000,11520000,860457600,3
CHI,Bengals,2,HB,Joe,Mixon,Joe Mixon,28,25,73,218,88,30300000,19830000,838166400,4
CHI,Browns,5,LG,Joel,Bitonio,Joel Bitonio,75,29,76,320,88,53660000,570000,687139200,7
KAN,Cowboys,11,HB,Ezekiel,Elliott,Ezekiel Elliott,21,26,72,228,88,59300000,31140000,806371200,5
ATL,Lions,19,C,Frank,Ragnow,Frank Ragnow,77,25,77,308,88,41900000,28620000,832291200,3
ARI,Chargers,8,C,Corey,Linsley,Corey Linsley,63,30,75,301,88,46000000,16500000,680572800,7
ARI,Chargers,8,SS,Derwin,James Jr,Derwin James Jr,33,25,74,215,88,14350000,7090000,839030400,3
MIA,Dolphins,12,CB,Byron,Jones,Byron Jones,24,28,72,205,88,37510000,45000000,717465600,6
MIN,Vikings,31,WR,Adam,Thielen,Adam Thielen,19,31,74,200,88,51970000,26910000,651283200,8
MIA,Eagles,13,CB,Darius,Slay Jr,Darius Slay Jr,2,30,72,190,88,34990000,20990000,662688000,8
MIA,Eagles,13,RT,Lane,Johnson,Lane Johnson,65,31,78,317,88,32420000,54110000,642124800,8
ATL,Seahawks,28,WR,Tyler,Lockett,Tyler Lockett,16,28,70,182,88,47700000,36250000,717638400,6
CHI,Buccaneers,6,LOLB,Shaquil,Barrett,Shaquil Barrett,58,28,74,250,88,34250000,30000000,721958400,7
CHI,Buccaneers,6,DT,Vita,Vea,Vita Vea,50,26,76,347,88,13600000,8880000,791942400,3
ATL,Titans,30,FS,Kevin,Byard,Kevin Byard,31,28,71,212,88,53400000,19350000,745545600,5
ATL,Commanders,26,DT,Jonathan,Allen,Jonathan Allen,93,26,75,300,88,5530000,14320000,790214400,4
ATL,Ravens,25,K,Justin,Tucker,Justin Tucker,9,31,73,180,87,11550000,13600000,627609600,9
CHI,Bills,3,SS,Jordan,Poyer,Jordan Poyer,21,30,72,191,87,13680000,9900000,672537600,8
ATL,Panthers,21,LE,Brian,Burns,Brian Burns,53,23,77,249,87,2000000,11530000,893289600,2
ATL,Panthers,21,WR,Robby,Anderson,Robby Anderson,11,28,75,190,87,8500000,11500000,736905600,5
CHI,Browns,5,HB,Kareem,Hunt,Kareem Hunt,27,26,71,216,87,10250000,5010000,807667200,4
KAN,Cowboys,11,QB,Dak,Prescott,Dak Prescott,4,28,74,238,87,66000000,80800000,743904000,5
KAN,Cowboys,11,LE,DeMarcus,Lawrence,DeMarcus Lawrence,90,29,75,265,87,58000000,44000000,704419200,7
KAN,Cowboys,11,RT,La'el,Collins,La'el Collins,71,28,76,320,87,35350000,24570000,743644800,6
CHI,Broncos,4,CB,Kyle,Fuller,Kyle Fuller,23,29,71,194,87,8260000,1000000,698198400,7
KAN,Colts,10,C,Ryan,Kelly,Ryan Kelly,78,28,76,309,87,31010000,29000000,738720000,5
ARI,Chargers,8,RT,Bryan,Bulaga,Bryan Bulaga,75,32,77,314,87,11750000,18240000,606441600,11
ARI,Chargers,8,CB,Chris,Harris Jr,Chris Harris Jr,25,32,70,199,87,8000000,9000000,614131200,10
ATL,Rams,24,WR,Robert,Woods,Robert Woods,2,29,72,193,87,61500000,21860000,702864000,8
MIN,Vikings,31,WR,Justin,Jefferson,Justin Jefferson,18,22,73,202,87,2000000,11130000,929491200,1
ATL,Patriots,22,MLB,Dont'a,Hightower,Dont'a Hightower,54,31,75,260,87,9950000,2500000,637200000,9
ATL,Patriots,22,TE,Hunter,Henry,Hunter Henry,85,26,77,250,87,12380000,25000000,786758400,5
ATL,Saints,27,CB,Marshon,Lattimore,Marshon Lattimore,23,25,72,192,87,7040000,11170000,832550400,4
SFO,49ers,15,FB,Kyle,Juszczyk,Kyle Juszczyk,44,30,73,235,87,17500000,9510000,672364800,8
ATL,Seahawks,28,HB,Chris,Carson,Chris Carson,32,26,71,222,87,5430000,3500000,779673600,4
CHI,Buccaneers,6,WR,Chris,Godwin,Chris Godwin,14,25,73,205,87,15980000,0,825379200,4
ATL,Titans,30,QB,Ryan,Tannehill,Ryan Tannehill,17,33,76,217,87,57000000,51800000,585964800,9
ATL,Commanders,26,RG,Brandon,Scherff,Brandon Scherff,75,29,77,315,87,18040000,0,693705600,6
ATL,Commanders,26,DT,Da'Ron,Payne,Da'Ron Payne,94,24,75,319,87,14390000,8560000,864691200,3
ATL,Falcons,14,MLB,Deion,Jones,Deion Jones,45,26,73,222,86,34000000,24130000,783907200,5
CHI,Bills,3,WR,Cole,Beasley,Cole Beasley,11,32,68,174,86,18300000,10700000,609552000,9
CHI,Browns,5,TE,Austin,Hooper,Austin Hooper,81,26,76,254,86,24000000,17990000,783388800,5
CHI,Browns,5,SS,John,Johnson III,John Johnson III,43,25,72,209,86,28000000,0,819331200,4
CHI,Broncos,4,CB,Bryce,Callahan,Bryce Callahan,29,29,69,188,86,8750000,10290000,688176000,6
CHI,Broncos,4,SS,Kareem,Jackson,Kareem Jackson,22,33,70,185,86,500000,4500000,576633600,10
ATL,Packers,20,LG,Elgton,Jenkins,Elgton Jenkins,74,25,77,310,86,3530000,3240000,819936000,2
