Rank,Player,Team,team_long_name,Bye,POS,FG,FGA,XPT,FPTS,ATT,CMP,YDS,TDS,INTS,FL,FPTS_qb,ATT_rb,YDS_rb,TDS_rb,REC,FL_rb,FPTS_rb,REC_te,YDS_te,TDS_te,FL_te,FPTS_te,REC_wr,YDS_wr,TDS_wr,ATT_wr,FL_wr,FPTS_wr,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FPTS_dst,ATT_flx,YDS_flx,TDS_flx,REC_flx,FL_flx,FPTS_flx,drafted_by
1,Christian McCaffrey,SF,49ers,9,RB,0,0,0,0,0,0,0,0,0,0,0,274.2,1294.6,11.7,69.9,1.7,281.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.2,1294.6,11.7,69.9,1.7,281.6,Russ Riders
2,CeeDee Lamb,DAL,Cowboys,7,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.4,1495.4,9.7,9.8,1.1,217.4,0,0,0,0,0,0,0,0,0,9.8,68.4,0.8,116.4,1.1,217.4,Undrafted
3,Tyreek Hill,MIA,Dolphins,6,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.2,1542.4,9.8,5.2,1,215,0,0,0,0,0,0,0,0,0,5.2,30.5,0.1,110.2,1,215,Sentinels
4,Ja'Marr Chase,CIN,Bengals,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.4,1347.6,9.3,3,0.7,191.1,0,0,0,0,0,0,0,0,0,3,12.6,0.1,106.4,0.7,191.1,Russ Riders
5,Justin Jefferson,MIN,Vikings,6,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.5,1446.6,7.6,1.2,1,189,0,0,0,0,0,0,0,0,0,1.2,3.9,0,104.5,1,189,Undrafted
6,Breece Hall,NYJ,Jets,12,RB,0,0,0,0,0,0,0,0,0,0,0,249.9,1121.9,7.8,66.9,1.4,232.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.9,1121.9,7.8,66.9,1.4,232.3,Easy Marks
7,Bijan Robinson,ATL,Falcons,12,RB,0,0,0,0,0,0,0,0,0,0,0,238.7,1093.4,7.3,65.1,2.2,227.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.7,1093.4,7.3,65.1,2.2,227.5,Easy Marks
8,Amon-Ra St. Brown,DET,Lions,5,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.9,1354.1,8.2,4.5,0.9,186.4,0,0,0,0,0,0,0,0,0,4.5,31.2,0.1,110.9,0.9,186.4,Undrafted
9,A.J. Brown,PHI,Eagles,5,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.4,1342.3,8.6,0,1.3,183.2,0,0,0,0,0,0,0,0,0,0,1.4,0,94.4,1.3,183.2,Americas Ass
10,Puka Nacua,LAR,Rams,6,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.2,1316.3,7.4,9.5,0.7,181.7,0,0,0,0,0,0,0,0,0,9.5,57.6,0.2,96.2,0.7,181.7,Undrafted
11,Garrett Wilson,NYJ,Jets,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.4,1187.1,8.2,3.9,1.3,167.5,0,0,0,0,0,0,0,0,0,3.9,19.2,0.1,95.4,1.3,167.5,WhatDats
12,Jonathan Taylor,IND,Colts,14,RB,0,0,0,0,0,0,0,0,0,0,0,283,1269.2,10,37.2,1.4,221.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,1269.2,10,37.2,1.4,221.9,Undrafted
13,Jahmyr Gibbs,DET,Lions,5,RB,0,0,0,0,0,0,0,0,0,0,0,201.3,946.3,8.4,55,1.4,194.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.3,946.3,8.4,55,1.4,194.6,Ninjas
14,Saquon Barkley,PHI,Eagles,5,RB,0,0,0,0,0,0,0,0,0,0,0,269.6,1140.1,9.1,49,1.7,218.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.6,1140.1,9.1,49,1.7,218.7,Americas Ass
15,Marvin Harrison Jr.,ARI,Cardinals,11,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.9,1166.4,6.8,0.5,1.5,154.6,0,0,0,0,0,0,0,0,0,0.5,3.6,0,87.9,1.5,154.6,Undrafted
16,Davante Adams,LV,Raiders,10,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.4,1153.1,7,0,0.5,156,0,0,0,0,0,0,0,0,0,0,1,0,94.4,0.5,156,WhatDats
17,Chris Olave,NO,Saints,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.6,1201.5,6.6,0,0.6,158.7,0,0,0,0,0,0,0,0,0,0,1,0,89.6,0.6,158.7,WhatDats
18,Drake London,ATL,Falcons,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.8,1133.2,7,0,0.9,153.9,0,0,0,0,0,0,0,0,0,0,2.2,0,86.8,0.9,153.9,Ninjas
19,Nico Collins,HOU,Texans,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.9,1138.1,7.4,1.6,0.5,158.1,0,0,0,0,0,0,0,0,0,1.6,8.6,0,77.9,0.5,158.1,Undrafted
20,Kyren Williams,LAR,Rams,6,RB,0,0,0,0,0,0,0,0,0,0,0,258.1,1154.1,10.3,36.3,1.7,213.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.1,1154.1,10.3,36.3,1.7,213.3,Undrafted
